run_id,source_url,source_checked_at,scrape_status,scrape_error_code,scrape_error_message,brand,series,product_name,base_item_number,variant_id,sku,item_number,selected_size,selected_upholstery,selected_leg,width_cm,depth_cm,height_cm,weight_kg,material,list_price,display_price,canonical_price,price_from,currency,tax_type,image_url,pdf_url,raw_data_ref,variant_key,variant_key_from,variant_key_error_type,variant_key_error_detail,list_price_value,display_price_value,canonical_price_value,price_compare_value,price_compare_from,price_normalization_error
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:3258/,2026-05-23T04:07:33.099169+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500013258731,4060001-9:0702s-14:3258,406500013258731,406500013258731,,チェリーレッド Bologna ファブリック 3258,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 315,900","¥ 257,900から","¥ 315,900",dom_text,JPY,tax_included,https://assets.boconcept.com/bd8b2522-acfa-41bb-a612-b3b60130b109/2913167_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_130_4060001-9_0702s-14_3258.html,4060001-9:0702s-14:3258,variant_id,,,315900,257900,315900,315900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:2274/,2026-05-23T04:07:39.561525+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012274731,4060001-9:0702s-14:2274,406500012274731,406500012274731,,sand Frisco fabric 2274,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/3347be06-59a1-42f9-a5e7-b3b601303f00/2913171_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_131_4060001-9_0702s-14_2274.html,4060001-9:0702s-14:2274,variant_id,,,339900,257900,339900,339900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:2275/,2026-05-23T04:07:46.020808+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012275731,4060001-9:0702s-14:2275,406500012275731,406500012275731,,ダスティブルー Frisco ファブリック 2275,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/24e11bdf-d639-4d38-b8c0-b3b601306491/2913175_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_132_4060001-9_0702s-14_2275.html,4060001-9:0702s-14:2275,variant_id,,,339900,257900,339900,339900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:2277/,2026-05-23T04:07:53.038572+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012277731,4060001-9:0702s-14:2277,406500012277731,406500012277731,,フォレストグリーン Frisco ファブリック 2277,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/8e7059de-ae59-4bd3-9efb-b3b601304717/2913179_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_133_4060001-9_0702s-14_2277.html,4060001-9:0702s-14:2277,variant_id,,,339900,257900,339900,339900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:2278/,2026-05-23T04:07:59.790307+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012278731,4060001-9:0702s-14:2278,406500012278731,406500012278731,,バーガンディ Frisco ファブリック 2278,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/23dec579-6081-47a3-97e4-b3b6013062f4/2913183_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_134_4060001-9_0702s-14_2278.html,4060001-9:0702s-14:2278,variant_id,,,339900,257900,339900,339900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:3085/,2026-05-23T04:08:06.546775+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500013085731,4060001-9:0702s-14:3085,406500013085731,406500013085731,,キャメル Rimini ファブリック 3085,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル。,"¥ 315,900","¥ 257,900から","¥ 315,900",dom_text,JPY,tax_included,https://assets.boconcept.com/7d31ecae-9282-4d05-9396-b3b60130614e/2913187_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_135_4060001-9_0702s-14_3085.html,4060001-9:0702s-14:3085,variant_id,,,315900,257900,315900,315900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:3086/,2026-05-23T04:08:12.933401+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500013086731,4060001-9:0702s-14:3086,406500013086731,406500013086731,,グリーン Rimini ファブリック 3086,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル。,"¥ 315,900","¥ 257,900から","¥ 315,900",dom_text,JPY,tax_included,https://assets.boconcept.com/28407266-0df8-4ff5-982c-b3b601308870/2913191_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_136_4060001-9_0702s-14_3086.html,4060001-9:0702s-14:3086,variant_id,,,315900,257900,315900,315900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:3087/,2026-05-23T04:08:19.662515+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500013087731,4060001-9:0702s-14:3087,406500013087731,406500013087731,,ベージュ Rimini ファブリック 3087,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル。,"¥ 315,900","¥ 257,900から","¥ 315,900",dom_text,JPY,tax_included,https://assets.boconcept.com/ffd40a4f-8a04-4044-a895-b3b601308410/2913195_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_137_4060001-9_0702s-14_3087.html,4060001-9:0702s-14:3087,variant_id,,,315900,257900,315900,315900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:3088/,2026-05-23T04:08:25.894842+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500013088731,4060001-9:0702s-14:3088,406500013088731,406500013088731,,ブリックレッド Rimini ファブリック 3088,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル。,"¥ 315,900","¥ 257,900から","¥ 315,900",dom_text,JPY,tax_included,https://assets.boconcept.com/3d6e8fc4-92b0-48c7-b93f-b3b6013077d3/2913199_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_138_4060001-9_0702s-14_3088.html,4060001-9:0702s-14:3088,variant_id,,,315900,257900,315900,315900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0702s-14:3310/,2026-05-23T04:08:32.410707+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500013310731,4060001-9:0702s-14:3310,406500013310731,406500013310731,,ホワイト Copenhagen ファブリック 3310,暗色無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 前面：リサイクルポリエステル 96%、ナイロン 4%。背面：リサイクルポリエステル 100%。,"¥ 315,900","¥ 257,900から","¥ 315,900",dom_text,JPY,tax_included,https://assets.boconcept.com/5bc4359b-f560-496f-aedd-b3b60130910e/2913203_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_139_4060001-9_0702s-14_3310.html,4060001-9:0702s-14:3310,variant_id,,,315900,257900,315900,315900,canonical_price,
